Welcome to the Bank Simulation!
We need some information to initialize your simulation...
How many tellers will you have? How many hours will your bank be open? How many customers do you expect per hour? What is the average transaction time (in minutes) of a customer? How many people can wait in your bank? Enter a seed: 
Individual Customer Service Information:
Customer        Arrival        Service          Queue         Teller      Time Serv      Time Cust      Time Serv     Time Spent
ID              Time           Time            Loc            Loc         Begins          Waits           Ends         in Sys
----            ----           ----           ----           ----           ----           ----           ----           ----
0               0.65            7.7             -1              0           0.65              0           8.36            7.7
1               1.49          10.95             -1              1           1.49              0          12.44          10.95
2               4.61           8.79              0              0           8.36           3.75          13.98           9.37
3               7.11          14.06              0              1          12.44           5.33          18.75          11.65
5              12.12           0.63              0              1          18.75           6.63          18.97           6.85
4              10.82           8.34              0              0          13.98           3.16          19.42            8.6
6              12.75          12.42              0              1          18.97           6.23          19.49           6.74
7              14.01           0.64              0              0          19.42           5.41          24.17          10.16
9              16.16           6.64              0              0          24.17           8.01          24.35           8.19
10             18.84          10.36              0              0          24.35            5.5          32.81          13.97
8              14.82           8.56              0              1          19.49           4.66          36.37          21.55
11             19.51           0.24              0              0          32.81           13.3          44.21          24.69
13             28.78           3.81              0              0          44.21          15.43          46.94          18.16
14             31.01           9.52              0              0          46.94          15.93          51.95          20.95
15             34.31          13.78              0              0          51.95          17.64          52.79          18.48
12              22.8            8.4              0              1          36.37          13.58           52.8          30.01
16             36.81           9.06              0              0          52.79          15.98          58.46          21.65
17             38.09           1.81              0              1           52.8          14.72          61.48          23.39
18             39.77           4.59              0              0          58.46           18.7          74.37          34.61
20             41.99           5.69              0              0          74.37          32.38          75.11          33.12
19             40.87           2.89              0              1          61.48          20.61          75.81          34.95
22             44.06          16.15              0              1          75.81          31.76           79.6          35.55
21             42.17          14.82              0              0          75.11          32.94          81.39          39.22
24             52.25           2.71              0              0          81.39          29.15          88.59          36.34
25             53.19           11.4              0              0          88.59           35.4          92.73          39.54
26             53.76           2.84              0              0          92.73          38.97          99.45          45.69
27             55.78           0.97              0              0          99.45          43.67         104.12          48.34
30             60.89           9.53              0              0         104.12          43.24         118.11          57.22
23             52.15          13.26              0              1           79.6          27.45         121.28          69.12
37             74.64           8.23              0              1         121.28          46.64         123.34          48.71
31             65.02           3.83              0              0         118.11          53.08         126.28          61.25
38             76.92          18.15              0              1         123.34          46.42         132.72           55.8
40             79.77           2.87              0              1         132.72          52.96          132.8          53.03
39             77.55           0.68              0              0         126.28          48.73         137.81          60.26
42             83.51           2.67              0              1          132.8          49.29         141.15          57.64
45             96.96            1.6              0              1         141.15           44.2         142.44          45.49
47            100.27           6.78              0              1         142.44          42.17         142.85          42.58
43             89.61          10.04              0              0         137.81           48.2         145.43          55.82
52            108.07          22.58              0              1         142.85          34.78         154.22          46.14
55             118.4           0.35              0              0         145.43          27.03         157.77          39.37
