Welcome to the Bank Simulation!
We need some information to initialize your simulation...
How many tellers will you have? How many hours will your bank be open? How many customers do you expect per hour? What is the average transaction time (in minutes) of a customer? How many people can wait in your bank? Enter a seed: 
Individual Customer Service Information:
Customer        Arrival        Service          Queue         Teller      Time Serv      Time Cust      Time Serv     Time Spent
ID              Time           Time            Loc            Loc         Begins          Waits           Ends         in Sys
----            ----           ----           ----           ----           ----           ----           ----           ----
0               0.65            7.7             -1              0           0.65              0           8.36            7.7
1               1.49          10.95             -1              1           1.49              0          12.44          10.95
2               4.61           8.79             -1              2           4.61              0          13.39           8.79
3               7.11          14.06              0              0           8.36           1.25          13.98           6.87
6              12.75          12.42              0              0          13.98           1.23          14.61           1.87
4              10.82           8.34              0              1          12.44           1.62          18.75           7.94
5              12.12           0.63              0              2          13.39           1.27          18.84           6.72
8              16.15           6.64              0              1          18.75            2.6          18.97           2.82
9              18.83          10.36              0              2          18.84              0          19.35           0.52
7              14.01           3.26              0              0          14.61           0.61          19.96           5.95
10              19.5           4.75              0              0          19.96           0.45          20.19           0.69


Customers who did not stay:
Customer        Arrival        Service
Id              Time           Time
----            ----           ----
21             39.14           4.49
22             40.56           0.71
23             44.27           7.55
24              48.3          32.38
25             48.99           5.01
26              49.2          13.26
27             49.29           2.71
28             50.23           5.67
29              52.4           11.4
30             52.97           2.84
31             54.99           0.97
32             55.75          15.09
33             56.18           14.4
34              60.1          15.91
35             62.48          16.54
36             66.07           3.83
37             66.69          16.99
38             70.55          12.62
39             72.47          11.75
40             73.02           3.07
41             73.53           1.31
42             75.68           0.74
43             77.74           9.15
44             79.31           3.79
45             83.84           2.52
46             84.01           8.85
47             94.43           2.87
48             95.38           2.37
49             98.18            7.2
50             98.84          24.41
51             99.88          10.04
52            100.66           1.76
53            107.22           6.72
54            107.63           3.76
55            109.53           9.49
56             110.7           6.78
57            111.11          10.75
58            112.27           2.11
59            112.68          11.95
60             113.9           2.26
61             118.5          13.98
62            124.15          22.51
63            126.39          17.04
64            131.13           1.77
65            133.17           0.35
66            134.07           6.63
67             134.1           0.51
68            134.67           7.64
69            135.71           6.82
70            136.29           2.07
71            138.44           7.92
72            140.79           4.84
73            141.11          16.62
74            143.76          11.53
75            147.55          10.21
76            148.11           1.77
77             148.2           1.97
78             150.9           9.41
79            150.93           1.05
80             151.6           2.71
81            151.62           8.35
82            152.62           4.15
83            153.07           14.7
84            154.97           4.75
85            157.23           2.45
86            162.57           1.29
87            162.67          11.36
88            165.76          19.51
89            168.31           5.65
90            169.09           1.39
91             171.4           4.12
92             171.9           2.39
93            172.62          15.34
94             173.8           0.52
95            175.44           7.66
96            176.29           3.19
97            176.36           0.82
98            177.58           4.03
99            177.78              9
100           181.26           5.52
101           183.61           1.17
102           186.55          14.71
103           188.89           1.32
104           190.48           2.09
105           192.33          19.49
106           195.11           6.36
107           196.23           6.56
108           210.32              9
109           211.41          26.31
110           211.48           8.12
111           213.02           6.87
112           213.43          12.74
113           216.16           9.72
114            216.3          10.71
115           217.44            3.9
116           217.82           2.08
117           220.56           4.09
118            221.4           1.55
119           227.83           4.59
120            235.8          16.91
121           239.09           5.15
122           239.92            1.4
123           240.08            8.5
124           240.98          29.66
125           244.43           6.79
126           244.83           0.65
127           245.13          18.51
128           247.55           0.53
129           249.55           6.39
130           251.13          10.72
131            252.7           2.11
132           252.85           1.54
133           256.05           3.12
134           256.79           1.83
135           257.66           2.14
136           258.12           1.12
137           260.15           1.87
138           266.45           5.96
139           266.87           5.44
140           270.86          10.97
141           271.44           1.89
142           274.19           5.74
143           275.58          31.72
144           280.33           3.91
145            289.3            4.1
146           289.72           3.88
147           299.81          19.29
148           299.94           0.95
149           301.31           3.03
150           301.94          19.83
151           305.64           3.35
152           305.93           4.12
153           306.95            0.3
154           308.51           4.33
155           315.33           7.27
156           315.76            1.6
157           316.24           3.81
158           323.02           8.88
159           324.29           2.35
160           331.03           7.81
161           331.04           3.39
162           331.35           8.75
163           331.48           2.81
164           332.94          29.35
165           340.19           11.7
166           340.99          11.19
167           341.03            8.8
168           345.52           3.69
169            349.8           13.5
170           350.71           6.55
171           350.83           3.09
172           351.52           3.74
173           351.73          11.39
174           352.75          11.76
175           352.98           5.82
176           352.98          10.36
177           354.94            1.8
178           355.07           8.31
179           360.03          22.58
180           360.36           5.92
181           361.29           8.33
182           362.45          16.12
183              370             19
184            378.8          13.51
185           380.52           0.96
186           380.64           0.54
187           380.91          10.27
188           381.38            3.5
189           381.64            1.6
190           383.75           1.31
191           388.93          30.45
192              391          25.99
193           391.28           8.84
194            392.6           2.75
195           394.19           3.04
196           394.79          11.36
197           395.08          13.93
198           396.32           1.13
199           401.11          33.17
200           401.67           2.15
201           403.76          10.61
202           404.64           8.19
203           405.04           1.67
204           407.61          17.41
205           413.98           3.27
206           417.36           8.68
207           422.17           0.56
208           422.98          17.93
209           424.35           2.06
210           433.35            0.3
211           434.65          13.34
212           437.01           0.78
213           437.07           1.55
214           437.13          18.77
215            438.6           2.07
216           439.89           1.74
217           442.01          55.39
218           444.16           6.12
219           446.01          12.69
220           448.39           0.07
221           448.78           2.19
222            451.1          12.72
223           451.71          44.66
224           452.62           0.97
225           453.92          12.52
226           454.12           0.98
227           454.52           5.14
228           456.35           2.43
229           462.53           4.23
230           462.71           6.13
231           463.01           2.92
232           467.79           4.53
233           467.83          11.59
234           468.42            2.1
235           468.44           4.59
236           468.86           3.13
237           469.79           4.71
238           472.33           6.86
239           477.07           0.51
240           479.39          10.21
Number of Tellers: 3
Number of Queues: 1
Max number allowed to wait: 10
Customer arrival rate (per hr): 30.0
Customer service time (ave min): 8.0
Number of customers arrived: 231
Number of customers served: 11
Num. Turned Away: 220
Num. who waited: 8
Average Wait: 0.8218442192161158 min.
Max Wait: 2.6038739931003114 min.
Std. Dev. Wait: 0.8112484258675794
Ave. Service: 7.990849834349603 min.
Ave. Waiter Wait: 1.1300358014221592 min.
Ave. in System: 5.528461001401135 min.


Individual Customer Service Information:
Customer        Arrival        Service          Queue         Teller      Time Serv      Time Cust      Time Serv     Time Spent
ID              Time           Time            Loc            Loc         Begins          Waits           Ends         in Sys
----            ----           ----           ----           ----           ----           ----           ----           ----
0               0.65           3.33             -1              0           0.65              0           3.99           3.33
2               3.39             10             -1              2           3.39              0          13.39             10
1               2.58          12.48             -1              1           2.58              0          15.06          12.48
5               6.91           0.63              2              2          13.39           6.49          18.15          11.24
8                8.9           0.64              2              2          18.15           9.25          27.21          18.31
4               6.18           8.34              1              1          15.06           8.88          28.28           22.1
7               7.53           5.04              1              1          28.28          20.74          29.98          22.45
11             11.05           0.22              2              2          27.21          16.16          30.05          19.01
13              13.4          16.89              2              2          30.05          16.65          39.58          26.18
10             10.59           6.64              1              1          29.98          19.39          45.89           35.3
15             13.64          23.92              2              2          39.58          25.95          48.73           35.1
14             13.46          13.13              1              1          45.89          32.43          49.02          35.56
19             17.01             10              2              2          48.73          31.72          52.49          35.48
20                19           5.11              2              2          52.49          33.48          54.75          35.74
17             14.63           8.92              1              1          49.02          34.39          56.64          42.01
18             15.56          11.39              1              1          56.64          41.08          58.41          42.85
23             21.12           4.49              2              2          54.75          33.63          63.71          42.59
22              20.6           4.41              1              1          58.41          37.81          66.58          45.98
26             25.03          32.38              2              2          63.71          38.67          68.55          43.52
29             26.02           2.71              2              2          68.55          42.53          71.26          45.24
32             27.54           8.07              2              2          71.26          43.73          78.88          51.35
33             27.78           3.05              2              2          78.88          51.11          80.27          52.49
25             22.54           7.55              1              1          66.58          44.04          81.74           59.2
36             32.67           3.83              2              2          80.27           47.6          83.15          50.48
28             25.92          13.26              1              1          81.74          55.82          89.41          63.48
39             37.06          11.75              2              2          83.15          46.09          97.07          60.01
43             39.72           6.28              2              2          97.07          57.35         108.01          68.29
31             26.96           11.4              1              1          89.41          62.45          108.9          81.94
34             28.75           14.4              1              1          108.9          80.16         112.21          83.47
54             50.26           6.78              2              2         108.01          57.75         113.17          62.91
58             52.85           18.4              2              2         113.17          60.31         119.48          66.63
60             56.35          17.04              2              2         119.48          63.13         125.44           69.1
35             31.55          16.54              1              1         112.21          80.66         130.72          99.17
38             35.13          12.62              1              1         130.72          95.59         134.82          99.69
51             46.29           1.76              1              1         134.82          88.53         137.34          91.05
53             49.09           9.49              1              1         137.34          88.24         140.69           91.6
68             63.78           1.29              2              2         125.44          61.66         144.47          80.68
75             68.64           0.08              2              2         144.47          75.82         156.17          87.52
78             71.28           4.75              2              2         156.17          84.89         160.27          88.99
61             59.09           0.35              1              1         140.69           81.6          167.8         108.71
62             59.99           6.63              1              1          167.8         107.81         168.82         108.83
70              66.9          10.21              1              1         168.82         101.92         170.13         103.24
88             81.87           3.41              1              1         170.13          88.26         171.25          89.38
84             79.66           9.24              2              2         160.27          80.61         176.39          96.73
97             89.45          11.14              1              1         171.25           81.8         180.09          90.63
86             80.69          15.34              2              2         176.39           95.7         181.64         100.95
92             83.59           5.52              2              2         181.64          98.04         183.23          99.64
112           110.71            1.4              1              1         180.09          69.37         190.69          79.98
117           112.39           9.71              1              1         190.69          78.31         195.85          83.47
133           132.21           1.67              1              1         195.85          63.65         195.92          63.71
137           135.45          19.83              1              1         195.92          60.47         197.47          62.02
104            98.35           9.72              2              2         183.23          84.88         200.65         102.29
113           110.79            8.5              2              2         200.65          89.85         201.45          90.66
119           114.12          10.72              2              2         201.45          87.33         202.43          88.31
127            119.7           1.68              2              2         202.43          82.72         204.02          84.31
